number,commit_len,base_commit_sha,first_commit_sha,merge_commit_sha,created_at,merged_at,merged_by,1-n_url
1,4,8b59511c6f88bcd699b51959f2c6e99edd770f30,e6fa409484ed7d9ec730d8e1dadd6bb79b54b2cd,bc3dd234a3db9f95f6d762baae2f80196c18fc30,2016-10-20 05:16:34,2016-10-20 06:15:39,soutaro,https://github.com/sider/catpost/compare/e6fa409484ed7d9ec730d8e1dadd6bb79b54b2cd...bc3dd234a3db9f95f6d762baae2f80196c18fc30.diff
2,3,3bc32b98ca65d0839a09fecb8c12883981e71d53,847361e9e943fed2f3d9ded3fcee167106a4501b,b3029fe621f26eb5bac8f04c99f2540636b214d2,2016-10-20 07:01:03,2016-10-31 11:35:44,soutaro,https://github.com/sider/catpost/compare/847361e9e943fed2f3d9ded3fcee167106a4501b...b3029fe621f26eb5bac8f04c99f2540636b214d2.diff
3,4,d4b62f732b94ab9739bc7c6bcd3f44a0f23579c5,3f5fead5f4e155b7c7b7fa7295e60398f1e78dd7,937bcedf3ac2649534cb2d2c186d3994003d73dd,2016-11-07 07:13:59,2016-11-07 07:16:17,soutaro,https://github.com/sider/catpost/compare/3f5fead5f4e155b7c7b7fa7295e60398f1e78dd7...937bcedf3ac2649534cb2d2c186d3994003d73dd.diff
4,3,504e0a54fd6f5bc2a033f2713dedf4f5658b653d,c26b7876fac21f39ca72c0dcc6f36e054f35dcc0,42041c9424897999c786a8406abd7180af36fdd9,2016-11-07 09:03:11,2016-11-07 09:20:46,soutaro,https://github.com/sider/catpost/compare/c26b7876fac21f39ca72c0dcc6f36e054f35dcc0...42041c9424897999c786a8406abd7180af36fdd9.diff
5,1,bd8f2d421cd3fb83f6e86dec2b7bf293fde390fe,e34eed4d04818f626ad5cee44411be06446808af,e34eed4d04818f626ad5cee44411be06446808af,2016-11-07 10:19:15,2016-11-08 12:26:15,soutaro,https://github.com/sider/catpost/compare/e34eed4d04818f626ad5cee44411be06446808af...e34eed4d04818f626ad5cee44411be06446808af.diff
6,3,f58893e960510f2aff7455b6353c01d890054441,222477d53f7d4b412bf52b54db894dd30ae539e5,71ec51fc16361dc19a1ababf463873cf274abfe6,2016-11-10 09:38:10,2016-11-10 11:17:41,soutaro,https://github.com/sider/catpost/compare/222477d53f7d4b412bf52b54db894dd30ae539e5...71ec51fc16361dc19a1ababf463873cf274abfe6.diff
7,3,40f7337c6328bd1f6469ce26310e7a0faa16cf3a,7f0de9a1a41ac5a708ce5dfb02d3c92919d4e8c4,007430d5db77de13a0e9cc681621f2d139245087,2016-11-14 08:24:26,2016-11-15 09:54:33,soutaro,https://github.com/sider/catpost/compare/7f0de9a1a41ac5a708ce5dfb02d3c92919d4e8c4...007430d5db77de13a0e9cc681621f2d139245087.diff
8,1,4d3c4a7a1fa1018c2923e7c8acdf0d6307e8eed3,449fee96a3dff49bce883f3d1c76b1d86e1bd5bc,449fee96a3dff49bce883f3d1c76b1d86e1bd5bc,2016-11-18 08:35:01,2016-11-18 09:11:27,soutaro,https://github.com/sider/catpost/compare/449fee96a3dff49bce883f3d1c76b1d86e1bd5bc...449fee96a3dff49bce883f3d1c76b1d86e1bd5bc.diff
9,1,2bdb86a3b489ecae8a89fad216db5e4adc7d7974,de8955fda48a12cf730c9ecc4bd1d068e02ae53b,de8955fda48a12cf730c9ecc4bd1d068e02ae53b,2016-12-15 07:04:20,2016-12-15 07:19:36,soutaro,https://github.com/sider/catpost/compare/de8955fda48a12cf730c9ecc4bd1d068e02ae53b...de8955fda48a12cf730c9ecc4bd1d068e02ae53b.diff
10,1,f9ce5f824cf2ed2cf32c6445d908ca7fcf3702d2,ba317dcfa643c24eb309cfa54127e0d3ca7f9897,ba317dcfa643c24eb309cfa54127e0d3ca7f9897,2016-12-15 13:36:29,2016-12-16 05:32:12,soutaro,https://github.com/sider/catpost/compare/ba317dcfa643c24eb309cfa54127e0d3ca7f9897...ba317dcfa643c24eb309cfa54127e0d3ca7f9897.diff
