number,author,participant,commit_len,base_commit_sha,first_commit_sha,merge_commit_sha,created_at,merged_at,merged_by
3,grosser,thomas-mcdonald,1,b4761c78c45a0f27429b73eaa06d165cfdd74c4b,2f139dcb921cb3c64003896d998af67fe2812c34,2f139dcb921cb3c64003896d998af67fe2812c34,2011-10-12 06:59:24,2011-10-12 10:30:06,thomas-mcdonald
4,bbenezech,thomas-mcdonald,1,452e94c18441d68c6167035aa91354f46b7c85c9,533ece86ba35c30206a4f9d5e9854c1be69188cb,533ece86ba35c30206a4f9d5e9854c1be69188cb,2011-10-12 15:43:07,2011-10-12 15:48:19,thomas-mcdonald
5,scpike,thomas-mcdonald,1,04df4de50a8b827f34f51b370480b55ff9d478f8,088d32e27295161b62bd8b871787ce622f0b10f1,088d32e27295161b62bd8b871787ce622f0b10f1,2011-10-12 22:15:14,2011-10-22 13:49:30,thomas-mcdonald
9,derekprior,thomas-mcdonald,1,2776b45166896c661603d4442264f2c798196645,65786e9c3ed9532cdeb92195fe411fc13574bb63,65786e9c3ed9532cdeb92195fe411fc13574bb63,2011-11-14 03:08:09,2011-11-15 07:25:10,thomas-mcdonald
10,JonathonMA,thomas-mcdonald,1,6695a6dcf0910678ba3c9e26daa04d869b21ca20,6cb01d85072cecd07900ba087e863f74f304cebf,6cb01d85072cecd07900ba087e863f74f304cebf,2011-11-17 10:25:29,2011-11-18 09:12:02,thomas-mcdonald
11,bernardo,thomas-mcdonald,1,628a8f62e5f52ce0ec398fe0eceeacb72f1e8203,5cd8a7cee240f5820afe606079e93c89ce3d60d5,5cd8a7cee240f5820afe606079e93c89ce3d60d5,2011-11-23 04:11:02,2011-11-29 17:31:47,thomas-mcdonald
13,chopan,thomas-mcdonald,1,628a8f62e5f52ce0ec398fe0eceeacb72f1e8203,ae4e7e87389bd87aa08cbc44e60a051eb1261374,ae4e7e87389bd87aa08cbc44e60a051eb1261374,2011-11-25 20:59:40,2011-12-02 22:07:47,thomas-mcdonald
18,bkerley,thomas-mcdonald,1,47187a2249cbde721662b5283dfe6732215d4817,5c14bb4fb16ecec4e201d63b50235df159b55e8e,5c14bb4fb16ecec4e201d63b50235df159b55e8e,2011-12-20 22:33:53,2011-12-23 12:08:30,thomas-mcdonald
20,rwjblue,thomas-mcdonald,3,47187a2249cbde721662b5283dfe6732215d4817,2ae648370e0666565253da9a72bae48563d741e2,2cf32b06115794a8ae2453c3e352bebdc9d43c42,2011-12-23 03:47:24,2012-01-17 16:48:49,thomas-mcdonald
56,thetamind,thomas-mcdonald,1,6c37fa981b14502748f0935bd385e11ccc965a3f,82ea8a65ac8f97662b4f3b5b921ae38556d64fb9,82ea8a65ac8f97662b4f3b5b921ae38556d64fb9,2012-02-07 18:43:36,2012-02-17 08:41:40,thomas-mcdonald
85,masterkain,dnagir,1,1544d335cc177f0a083fd8da8d5d5de36986bdfe,b6b9e2342cda7256baff535c4d89c489ff12938d,b6b9e2342cda7256baff535c4d89c489ff12938d,2012-03-12 22:16:44,2012-03-12 22:41:30,thomas-mcdonald
114,cabgfx,aaronchi,1,4a8dc21e8637ec0bfdacbe8d0c035021f40bf78f,c5b24a1347b7f4c4764714621b4372bb47fe30ff,c5b24a1347b7f4c4764714621b4372bb47fe30ff,2012-04-17 10:11:04,2012-05-06 17:57:10,thomas-mcdonald
207,toxaq,thomas-mcdonald,1,f201b26d9b4eb5b0ab3a813bfeccd854bdfd4f39,04b02d61542cb61476e1fb8b42b8e2269ef81135,04b02d61542cb61476e1fb8b42b8e2269ef81135,2012-09-12 04:52:21,2012-09-18 22:10:11,thomas-mcdonald
208,behrends,thomas-mcdonald,1,f201b26d9b4eb5b0ab3a813bfeccd854bdfd4f39,87aa874c7f0f3e7ddbb1a7771f3b57d4f8773add,87aa874c7f0f3e7ddbb1a7771f3b57d4f8773add,2012-09-12 07:29:37,2012-09-18 22:09:43,thomas-mcdonald
214,wndxlori,kiere,4,f201b26d9b4eb5b0ab3a813bfeccd854bdfd4f39,444409bd59e1a34f5440b83c1e75cb48e260c147,2803b00c1ddf2c981624eac9998c26d7347232c2,2012-09-17 21:38:11,2012-10-16 18:29:24,thomas-mcdonald
222,jasononeil,thomas-mcdonald,1,2a7c21d40692b512c02deb730fe8caefe1e474da,549e53829abc75dd22668716dca768e62c0ba716,549e53829abc75dd22668716dca768e62c0ba716,2012-10-02 03:58:19,2012-10-16 18:30:36,thomas-mcdonald
227,theo-bittencourt,thomas-mcdonald,1,2a7c21d40692b512c02deb730fe8caefe1e474da,90ec4aaae4247c138606be517cb4045800237687,90ec4aaae4247c138606be517cb4045800237687,2012-10-10 02:36:38,2012-10-16 18:34:32,thomas-mcdonald
228,agis,jwswj,1,2a7c21d40692b512c02deb730fe8caefe1e474da,adb78e0b32e60ac9e71d5905767cf446e91f4e71,adb78e0b32e60ac9e71d5905767cf446e91f4e71,2012-10-10 21:54:24,2012-10-16 18:34:56,thomas-mcdonald
231,sguha00,rubenrails,1,2a7c21d40692b512c02deb730fe8caefe1e474da,21f6f0f5582407a513ecdebf0da334a4d775502f,21f6f0f5582407a513ecdebf0da334a4d775502f,2012-10-12 23:12:19,2012-10-16 18:37:21,thomas-mcdonald
241,asecondwill,thomas-mcdonald,1,dabed1ecbc10fd79f18e48e579db7336e782d676,36b5922c85e38f2552b31926c902f8160292126f,36b5922c85e38f2552b31926c902f8160292126f,2012-10-25 05:43:45,2012-10-26 10:18:05,thomas-mcdonald
242,mhlavac,thomas-mcdonald,1,dabed1ecbc10fd79f18e48e579db7336e782d676,e7f84b62a7d10d9eebd4a461d7551dcbb9af67e3,e7f84b62a7d10d9eebd4a461d7551dcbb9af67e3,2012-10-25 21:30:04,2012-10-26 10:17:09,thomas-mcdonald
246,trisweb,m5o,21,7683418d92901567ebb55dd9f1e5e5aae9fbde9e,776583f08ec49788e677d3c679aa2b926eb59185,331b98a6075f045f937d126ec416428cc6830054,2012-11-01 13:47:41,2012-11-17 13:23:54,thomas-mcdonald
258,umairsiddique,kaluznyo,2,a775dd6978ea51b8f8d6b19d6563107687874095,d37e15008d4c3e26d930006174c7326babef1611,274d5250326bc18cf61a2e20208b2a9042fe4b92,2012-11-18 12:24:50,2012-11-18 18:10:20,trisweb
